,scale,background,sld,sld_solvent,radius,radius_pd,radius_pd_n,radius_pd_nsigma,length,length_pd,length_pd_n,length_pd_nsigma,theta,theta_pd,theta_pd_n,theta_pd_nsigma,phi,phi_pd,phi_pd_n,phi_pd_nsigma,up_frac_i,up_frac_f,up_angle,sld_M0,sld_mtheta,sld_mphi,sld_solvent_M0,sld_solvent_mtheta,sld_solvent_mphi,radius_pd_type,length_pd_type,theta_pd_type,phi_pd_type
0,0.38073379989880607,0.0009528374067086431,9.09654155181293,0,2395.3970687428073,0.038725893341664236,35.0,3.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,schulz,,,
1,0.10677292444743203,0.0009498866375765789,0.21371621317623768,0,2155.035063387404,0.09559735138249825,35.0,3.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian,,,
2,0.701611107013722,0.00019899399085204168,7.579320672990616,0,2074.648732698597,0.15217239922523484,35.0,3.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian,,,
3,0.7160096575314654,6.462712187556517e-05,13.660602657226022,0,3058.2230668179427,0.005049896580590518,35.0,3.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,schulz,,,
4,0.6316924112690463,0.00042700016879489004,4.414343689948531,0,364.87644849777587,0.11362107819359882,35.0,3.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lognormal,,,
5,0.07185340455384626,0.00025194090660562616,9.890509853063104,0,1229.6386913990964,0.19058992193086438,35.0,3.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rectangle,,,
6,0.09175323877726949,0.0006806848270792162,5.915509150401283,0,142.82689417378037,0.19302968265026943,35.0,3.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rectangle,,,
7,0.6932036276939985,0.00021301357915520845,11.314114561284445,0,1802.5311631288616,0.13815691476382067,35.0,3.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rectangle,,,
8,0.8446906183496473,5.87285959434175e-06,6.594995338619383,0,1898.1945055709548,0.09986040843481658,35.0,3.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian,,,
9,0.6820363013343917,0.0007469458710401314,13.992103928786461,0,1853.5543222353244,0.18311320349914906,35.0,3.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lognormal,,,
10,0.9284151836453733,0.0001591130999175092,0.5893395321203593,0,1065.346487975341,0.13835440983678735,35.0,3.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,schulz,,,
11,0.7881887880291489,0.00015975184899793057,13.240525404803824,0,221.42597129356895,0.08457537767772941,35.0,3.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,schulz,,,
12,0.5344839904378857,0.0006607178100984596,1.6948932978046338,0,1280.1828947096922,0.07845644125577325,35.0,3.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,schulz,,,
13,0.49268942075658895,0.0008164673178706314,5.596971711329584,0,485.0670741714877,0.11494444619259783,35.0,3.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian,,,
14,0.8291419887846594,0.0007221941668127513,13.508995241037098,0,2583.628064232842,0.14741011646102742,35.0,3.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uniform,,,
15,0.9000471425337548,7.442631691254614e-05,14.436871824861285,0,2106.4564469249967,0.04074087213868727,35.0,3.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lognormal,,,
16,0.014114287771932577,0.0008055428573182855,8.361715749394248,0,2097.03888590295,0.1081636554672937,35.0,3.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian,,,
17,0.0283445489024311,8.745921675428118e-05,11.15873935883,0,1309.0937975245956,0.09667598729274865,35.0,3.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rectangle,,,
18,0.448428240126032,0.0008749036940184754,2.5867889592347564,0,1454.181704409442,0.1899624821440059,35.0,3.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,schulz,,,
19,0.4018837151179362,4.767504584132534e-05,12.862699706422799,0,1306.2922940897577,0.11990971142113126,35.0,3.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,schulz,,,
20,0.6542772251229141,0.0005988068872018212,14.097488377250402,0,3493.1102767865495,0.15018318727550004,35.0,3.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian,,,
21,0.6311646788403273,0.00018373233741497103,13.872820449643871,0,3203.854354054237,0.12702516004940861,35.0,3.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rectangle,,,
22,0.4088893466434276,0.0007265750820682731,12.758789629512657,0,1919.538684248104,0.17476800417214322,35.0,3.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lognormal,,,
23,0.742115876142407,0.0001214216301700067,4.118127411413484,0,3171.6051566642936,0.026084304583531084,35.0,3.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian,,,
24,0.0909309160028513,0.00046400748508889245,0.07459525829142166,0,1781.4687962521346,0.15561613640276112,35.0,3.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rectangle,,,
25,0.7574874652835404,0.0004094223530414896,5.776337304444377,0,493.92139109521236,0.0489753677387103,35.0,3.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rectangle,,,
26,0.08142233604795857,0.0004983805231084422,1.9653266431298162,0,3979.8271845409436,0.11439288459001258,35.0,3.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,schulz,,,
27,0.18001511466462683,0.0002937395030748711,9.451271798274641,0,1320.9204168316776,0.149610106699816,35.0,3.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian,,,
28,0.7154631361694276,0.00030742653157955703,9.625097845492228,0,2982.128094101762,0.1859121026995016,35.0,3.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian,,,
29,0.8002042610241427,0.0007703175136237822,13.276184643842246,0,3202.6288477841213,0.14221669288001346,35.0,3.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rectangle,,,
30,0.9060672096690568,0.0002418271013430613,2.5263491546253736,0,2808.153385760158,0.1399735936915317,35.0,3.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lognormal,,,
31,0.1494701295970181,0.0006947859754727619,7.795859233952178,0,1558.9755585346347,0.08255300065394373,35.0,3.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rectangle,,,
32,0.15304705514530503,2.397210393033293e-05,12.502419250251137,0,2635.231490453974,0.13298649021956677,35.0,3.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian,,,
33,0.30955245179137447,7.578983737849561e-05,11.345900023659842,0,2700.5546055204754,0.18703182918285272,35.0,3.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian,,,
34,0.3960239229203192,0.0003934819517497231,7.182896565768327,0,1434.5097840718818,0.10400249513080582,35.0,3.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,schulz,,,
35,0.37309020261335735,0.0007814471203464887,4.36111130954111,0,2869.863196069069,0.049758455843175425,35.0,3.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uniform,,,
36,0.9178076267989875,0.0007089905787247843,0.5335276422839963,0,487.3874084475545,0.022661950184171345,35.0,3.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian,,,
