,scale,background,volfraction_a,sld_a,sld_b,d,xi,up_frac_i,up_frac_f,up_angle,sld_a_M0,sld_a_mtheta,sld_a_mphi,sld_b_M0,sld_b_mtheta,sld_b_mphi
0,0.31251783349275286,0.0008021679150821855,0.7481844519036782,0.36135587483392406,6.044995259834342,2998.2875815723987,2020.5998277694496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.08413246974606281,0.0005352607355165706,0.20169391250771776,2.247175326892376,12.397266044928088,2998.2875815723987,91.29186291613647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.6657382987655883,0.00040236501964781605,0.6885495179738221,0.8486153482869652,14.286956366518314,2998.2875815723987,1738.3665183391056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.3147113735740714,7.590146152139596e-05,0.5342145346126175,0.30782417909131,7.92723291176381,2998.2875815723987,2138.2591369335905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.2115067761899283,0.0006997349542318692,0.6722877052159545,4.6497359068018635,8.430627556914683,2998.2875815723987,1946.1692682936266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.7041300997997956,0.0005262854328839044,0.25098202440326167,4.85632665638377,14.236267452884768,2998.2875815723987,1964.9917383939421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.6465773854559115,0.0007294379051375674,0.7972446397243955,0.19833833600755968,9.311221608585278,2998.2875815723987,1636.5651547582463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.7729607711484713,2.3290026844038218e-05,0.6932999164336475,2.037692025821603,7.070710413723405,2998.2875815723987,441.3314750776666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.33623253255703955,0.00020514922422752355,0.36223241765152925,2.3778827922545394,14.322464694946056,2998.2875815723987,1958.076469744373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.8807459635594289,0.0006709849032024765,0.5336180969259058,0.5790960188767369,5.391293486354684,2998.2875815723987,1732.950738846952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.030050272202024608,0.0009804329807414985,0.5673650187116193,4.137295060774301,5.541785352824698,2998.2875815723987,1392.0601691903562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.8349550287415042,0.0008789479638140641,0.23607038850173023,0.9883300439022963,6.989620634726839,2998.2875815723987,801.701208747948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.6486306845198966,4.2334751726295806e-05,0.6933836127800425,4.188374089657474,9.169630625320076,2998.2875815723987,1628.0607064059138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.7711111808892032,0.00011197122322726462,0.3187393635206839,1.9584835406779573,12.480956430781886,2998.2875815723987,1583.8300240736128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.7812263005178602,0.00021242099936741716,0.4218612302987229,1.9457849903721964,11.900321516727292,2998.2875815723987,578.6967512170365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.30143732248734656,0.0006360234717166298,0.7666580542447481,3.690125999358649,14.293396093775161,2998.2875815723987,1074.820849800766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.253936267841961,0.0006343383310867241,0.6602339707155007,0.8208194388024675,14.045689397818318,2998.2875815723987,900.4223761015191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
