,scale,background,radius,radius_pd,radius_pd_n,radius_pd_nsigma,thickness,thickness_pd,thickness_pd_n,thickness_pd_nsigma,length,length_pd,length_pd_n,length_pd_nsigma,sld,sld_solvent,theta,theta_pd,theta_pd_n,theta_pd_nsigma,phi,phi_pd,phi_pd_n,phi_pd_nsigma,up_frac_i,up_frac_f,up_angle,sld_M0,sld_mtheta,sld_mphi,sld_solvent_M0,sld_solvent_mtheta,sld_solvent_mphi,radius_pd_type,thickness_pd_type,length_pd_type,theta_pd_type,phi_pd_type
0,0.9228683239973876,0.0008061278770773672,212.04511013792256,0.15216518756366493,35.0,3.0,73.1129649196657,0.010961954511402028,35.0,3.0,325.84995964573903,0.36170021104761757,35.0,3.0,15.755306359787626,0,90,0.10929491710646591,35.0,3.0,0,0.18971748577964553,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian,schulz,gaussian,schulz,gaussian
1,0.06881148711713891,0.00018043295801384993,212.04511013792256,0.18958932149302224,35.0,3.0,123.57132798384383,0.06432658059917722,35.0,3.0,321.8561063263623,0.3979865990121721,35.0,3.0,14.205646918267586,0,90,0.15059297392446738,35.0,3.0,0,0.03335219035712918,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,schulz,lognormal,schulz,schulz,lognormal
2,0.2673221961188106,0.0009148348025224029,212.04511013792256,0.02528072616507411,35.0,3.0,105.87575441036039,0.08563465710615513,35.0,3.0,208.8366743072103,0.46319816093603394,35.0,3.0,19.30959343508529,0,90,0.15425600983771245,35.0,3.0,0,0.030078502191395896,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lognormal,rectangle,rectangle,gaussian,schulz
3,0.9025531173920209,0.000585152926340558,212.04511013792256,0.054149747500436086,35.0,3.0,13.415553538678468,0.04627304667777257,35.0,3.0,50.509592229998425,0.1305969245368555,35.0,3.0,10.887462011455227,0,90,0.08361314309422503,35.0,3.0,0,0.11502759179500406,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian,schulz,rectangle,gaussian,rectangle
4,0.4126895779362737,0.0005580263818220995,212.04511013792256,0.15524870626634532,35.0,3.0,86.72859779015552,0.18548529218492008,35.0,3.0,212.21371754138838,0.37740386175436647,35.0,3.0,17.679588020378045,0,90,0.11666572108934999,35.0,3.0,0,0.13822038908331866,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,schulz,gaussian,schulz,gaussian,uniform
5,0.42566319572046096,0.0005072977095106977,212.04511013792256,0.0883536133085589,35.0,3.0,198.56176975667327,0.17005940571607403,35.0,3.0,133.9019388152806,0.09350544637251357,35.0,3.0,17.508553167742996,0,90,0.0319950237581937,35.0,3.0,0,0.16366712309492198,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian,lognormal,rectangle,gaussian,rectangle
6,0.6209209377512779,0.0005020023355550103,212.04511013792256,0.17162290663112,35.0,3.0,199.60763973758145,0.011893370002907978,35.0,3.0,286.27789298535123,0.4107678093307309,35.0,3.0,6.901144876257194,0,90,0.06248647470481586,35.0,3.0,0,0.13860841254333797,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lognormal,uniform,uniform,rectangle,lognormal
7,0.47462967747457574,0.00041370609087809337,212.04511013792256,0.13635946815783254,35.0,3.0,85.06309909536033,0.029942122739458267,35.0,3.0,77.99715778272149,0.4427761020819716,35.0,3.0,10.036769462343962,0,90,0.15637287969560695,35.0,3.0,0,0.08849908873541434,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rectangle,lognormal,gaussian,rectangle,lognormal
8,0.039787799460130446,0.0006565309098850824,212.04511013792256,0.19553099013342212,35.0,3.0,21.19716149707016,0.19677913474729003,35.0,3.0,201.94992735752214,0.485629151260948,35.0,3.0,19.587350467696215,0,90,0.019493422578561393,35.0,3.0,0,0.06634621566776609,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rectangle,gaussian,gaussian,lognormal,uniform
9,0.7713847712570351,0.0007312902196998412,212.04511013792256,0.075881476976849,35.0,3.0,193.21593847936654,0.06232057631531687,35.0,3.0,119.97475493998944,0.3775564026152144,35.0,3.0,6.966201492347139,0,90,0.0861024034958837,35.0,3.0,0,0.0962952654731709,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lognormal,gaussian,lognormal,schulz,lognormal
