,scale,background,A_scale,A_sld,A_sld_solvent,A_radius,A_radius_pd,A_radius_pd_n,A_radius_pd_nsigma,B_scale,B_sld,B_sld_solvent,B_radius,B_radius_pd,B_radius_pd_n,B_radius_pd_nsigma,B_length,B_length_pd,B_length_pd_n,B_length_pd_nsigma,B_theta,B_theta_pd,B_theta_pd_n,B_theta_pd_nsigma,B_phi,B_phi_pd,B_phi_pd_n,B_phi_pd_nsigma,up_frac_i,up_frac_f,up_angle,A_sld_M0,A_sld_mtheta,A_sld_mphi,A_sld_solvent_M0,A_sld_solvent_mtheta,A_sld_solvent_mphi,B_sld_M0,B_sld_mtheta,B_sld_mphi,B_sld_solvent_M0,B_sld_solvent_mtheta,B_sld_solvent_mphi,A_radius_pd_type,B_radius_pd_type,B_length_pd_type,B_theta_pd_type,B_phi_pd_type
0,0.9624362720292268,0.0003724576497143124,0.23813595292113554,7.269022226048234,0,364.5647726587072,0.0,35.0,3.0,0.7618640470788645,11.384347355959662,0,271.4203385059166,0.0,35.0,3.0,18748.48897204444,0.0,35.0,3.0,26.152301193526423,0,35.0,3.0,66.93031355051906,0,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,schulz,schulz,rectangle,schulz,lognormal
1,0.5993608612327893,0.0009416552032027574,0.23813595292113554,8.1612595177385,0,2064.399168912753,0.0,35.0,3.0,0.7618640470788645,12.026684655579595,0,271.4203385059166,0.0,35.0,3.0,17138.414362006428,0.0,35.0,3.0,16.506238890898345,0,35.0,3.0,60.033053788187594,0,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian,schulz,schulz,uniform,uniform
2,0.424428347144317,0.0009927017732448747,0.23813595292113554,3.7651251713033522,0,3929.340167520278,0.0,35.0,3.0,0.7618640470788645,10.549677276749843,0,271.4203385059166,0.0,35.0,3.0,9669.813741445214,0.0,35.0,3.0,66.91468063281206,0,35.0,3.0,38.31610133657848,0,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rectangle,gaussian,rectangle,lognormal,rectangle
3,0.4257374510694142,0.0006634313442034805,0.23813595292113554,4.073611367519149,0,1582.231668178757,0.0,35.0,3.0,0.7618640470788645,11.022220439333784,0,271.4203385059166,0.0,35.0,3.0,16093.372659129018,0.0,35.0,3.0,17.681685811454912,0,35.0,3.0,30.443890822305818,0,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,schulz,rectangle,uniform,rectangle,gaussian
4,0.10762999405916596,5.630678707106755e-05,0.23813595292113554,14.356797614147707,0,3051.927134601908,0.0,35.0,3.0,0.7618640470788645,4.266613865883935,0,271.4203385059166,0.0,35.0,3.0,50177.13905516891,0.0,35.0,3.0,51.90659945836263,0,35.0,3.0,81.69218344046232,0,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,schulz,uniform,lognormal,schulz,lognormal
5,0.29758350258651156,0.0004230631868019108,0.23813595292113554,10.032209054719285,0,51.17357312603042,0.0,35.0,3.0,0.7618640470788645,3.579233872216903,0,271.4203385059166,0.0,35.0,3.0,14032.19275223295,0.0,35.0,3.0,14.22913878881815,0,35.0,3.0,59.44089618824873,0,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rectangle,lognormal,schulz,schulz,uniform
6,0.40655827276872847,0.0002455460924574859,0.23813595292113554,4.309110403813825,0,2474.091931333517,0.0,35.0,3.0,0.7618640470788645,14.871075080193105,0,271.4203385059166,0.0,35.0,3.0,27062.087970227818,0.0,35.0,3.0,78.10069143116296,0,35.0,3.0,89.55224450820653,0,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uniform,lognormal,uniform,uniform,schulz
7,0.9710342721346878,0.0005099197963129951,0.23813595292113554,0.4953510266849015,0,2553.3834790442547,0.0,35.0,3.0,0.7618640470788645,0.0725319359275961,0,271.4203385059166,0.0,35.0,3.0,6669.667327803294,0.0,35.0,3.0,2.2916031089834155,0,35.0,3.0,63.781536463169886,0,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lognormal,lognormal,rectangle,lognormal,rectangle
8,0.4998309701369986,0.0008772574045929356,0.23813595292113554,13.083419391851947,0,811.1266226746601,0.0,35.0,3.0,0.7618640470788645,7.053054163855339,0,271.4203385059166,0.0,35.0,3.0,4046.4887941149773,0.0,35.0,3.0,14.28799234828173,0,35.0,3.0,42.094087687378384,0,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uniform,lognormal,gaussian,lognormal,schulz
9,0.5879179688315099,0.0006265379330216574,0.23813595292113554,8.723596814368241,0,2943.2493222906965,0.0,35.0,3.0,0.7618640470788645,9.90919807021123,0,271.4203385059166,0.0,35.0,3.0,15065.823674126728,0.0,35.0,3.0,43.80755453099458,0,35.0,3.0,6.224523238138964,0,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,schulz,rectangle,schulz,lognormal,lognormal
