,scale,background,sld,sld_solvent,radius,radius_pd,radius_pd_n,radius_pd_nsigma,fuzziness,fuzziness_pd,fuzziness_pd_n,fuzziness_pd_nsigma,up_frac_i,up_frac_f,up_angle,sld_M0,sld_mtheta,sld_mphi,sld_solvent_M0,sld_solvent_mtheta,sld_solvent_mphi,radius_pd_type,fuzziness_pd_type
0,0.8895273641502285,0.0001069517267937685,7.031270898707966,0,760.4978919970608,0.04716850948793527,35.0,3.0,47.524179507018964,0.1819199463076364,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,schulz,gaussian
1,0.6407906287847427,0.00096863190836755,3.0021811453441556,0,155.7808224622383,0.11743763255295717,35.0,3.0,66.27702286606623,0.1058253975082178,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian,lognormal
2,0.5006934765146418,0.00028357447295018323,2.3497974867871436,0,2748.222084302771,0.19927417614057974,35.0,3.0,250.5952918090655,0.007573496385117307,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rectangle,rectangle
3,0.11689475426451423,0.0004266647856233265,6.5571380319056125,0,2549.8344274227907,0.18032206962461828,35.0,3.0,213.37139279011504,0.1874686359421794,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rectangle,rectangle
4,0.981912959781151,0.0006115430848481401,4.5051004064266795,0,216.79982465821783,0.051010439023097855,35.0,3.0,90.53316909574353,0.1403656539471093,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rectangle,uniform
5,0.6254811516868811,0.0004659580435360019,0.9779859818957948,0,316.5787884864715,0.1717443607948492,35.0,3.0,259.78055338202694,0.15454459993814787,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uniform,uniform
6,0.35482881522126064,0.0008953442096481709,12.94152660593048,0,2142.835230481691,0.12616124661154693,35.0,3.0,311.54847038383895,0.08928271995264343,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian,rectangle
7,0.4787781902731093,0.0009063541366741849,1.2067874280241286,0,2979.6495500639267,0.12331047685791621,35.0,3.0,210.49268744895465,0.1514737418840491,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uniform,rectangle
8,0.4787221345976689,0.00038657245266093257,14.278787071917971,0,2682.3824237998983,0.12467386407829453,35.0,3.0,80.14816253078243,0.09318444982197056,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian,gaussian
9,0.13278408409212628,0.0007735880214593335,6.406509040691926,0,3145.413232777877,0.00970902278783894,35.0,3.0,72.9208586333611,0.04445084352121782,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,schulz,schulz
10,0.379963318828638,0.00014604511011136675,10.9483701525983,0,2518.1091872938564,0.04396879393661255,35.0,3.0,34.12934509264016,0.038129420032062704,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,uniform,uniform
11,0.6438212015410736,0.0005768280199099395,0.6967464847131233,0,3693.97052039261,0.04832375915903573,35.0,3.0,345.7911485494856,0.07192801125496982,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,lognormal,schulz
12,0.9577532081914469,0.00020055015167159973,6.789826051036974,0,2294.0409356247533,0.0702298470203515,35.0,3.0,147.6531067449783,0.05607681173703785,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rectangle,rectangle
13,0.08866188555979115,0.000532801638064559,1.3235069885429236,0,3179.1000235513657,0.11803015561318873,35.0,3.0,305.21178486950294,0.1932039245797878,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gaussian,lognormal
